WaterKey,[Z]キーか、左の[Shift]キーで、水をまくよ。
MoveKey,左右キーか、[A][D]キーで歩きます。
LetsWater,苗に水をかけてみよう！
CantSwim,ステラは泳げないんだ。橋をかけられたら...
Ivy,ツタは上下キーか、[W][S]キーで登り下り。
ActionKey,[X]か[Space]キーで、苗を持ったり置いたり。
LetsMove,あれ？届かない(><) 苗を移動させれば...
LetsGreen,緑の力が足りない...。全ての苗を発芽させよう！
Stage1Nice,緑の力が星に溜まるよ!!
CanClear,星に緑の力が集まったよ!星のところへ行こう!!
Escape,クリアできなくなったら、[Escape]キーでやり直せるよ。
Stage2Watage,[X]か[Space]キー押しっぱなしで綿毛につかまれるよ。
Stage2Release,[X]か[Space]キーを離せば綿毛をはなすよ。
Stage2TsutaFlower,左はツタの苗、右は花の橋の苗。どう使おうかな?
Stage3Mushroom,キノコに水をあげてみよう。
Stage3CanJump,キノコに向かって歩いてみて。
Stage3How,上のキノコ、どうやって取ろうかな...
Stage3CanNaeJump,苗を持ったままでもジャンプできるよ。
Stage3RevJump,キノコでジャンプする時、逆方向のキーで後ろ向きに飛べるよ。
Stage4Water,これは岩の木の苗です。水をあげてみよう。
Stage4Rock,押して転がせるよ。
Stage4Action,岩の木の横で、[X]か[Space]キーを押すと乗れるよ。
Stage4On,ちょこちょこ左右に動いて、上手に転がそう！
Stage4Move,苗は運ぶこともできるよ。
